os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win11,21H2,Thunderbolt(TM) Controller - 9A1D (\_SB.PC00.TDM1),Fx Device,high,35,4577.792279026217,267
Win10,21H2,Intel(R) PCI Express Root Port #13 - 02B4 (\_SB.PCI0.RP13),Fx Device,high,68,1681.0120596747718,6703
Win10,21H2,Intel(R) PCI Express Root Port #11 - 02B2 (\_SB.PCI0.RP11),Fx Device,high,5,2935.2285893617027,47
Win10,22H2,Intel(R) Smart Sound Technology Ses Denetleyicisi (\_SB.PC00.HDAS),Fx Device,high,17,2935.284225415677,421
Win10,21H2,Unregistered Device \_SB.PC00.GNA0,Fx Device,high,25,2904.93659153046,7403
Win11,22H2,Intel(R) Ethernet Connection (6) I219-V (\_SB.PCI0.GLAN),Fx Device,moderate,40,553.1523446952594,1329
Win10,21H1,Intel(R) PCI Express Root Port #17 - 06C0 (\_SB.PCI0.RP17),Fx Device,low,3,22.08218,5
Win10,22H2,Intel(R) GNA Scoring Accelerator module (\_SB.PC00.GNA0),Fx Device,low,5,276.26183076923076,13
Win10,22H2,PCI Express Root Port (\_SB.PCI0.PEG0),Fx Device,low,15,22.50286637781629,1731
Win10,21H1,PCI Express Root Port (\_SB.PC00.PEG1),Fx Device,moderate,1,162.67668888888886,9
Win10,21H2,Realtek High Definition Audio(SST) (INTELAUDIO\FUNC_01&VEN_10EC&DEV_0298&SUBSYS_17AA3812&REV_1001\4&eb590e&0&0001),Fx Device,high,1,2788.3271,2
Win10,22H2,Qualcomm QCA9377 802.11ac Wireless Adapter (\_SB.PCI0.RP15.PXSX),Fx Device,high,6,2582.6496787878787,33
Win10,21H2,Qualcomm Atheros QCA61x4A Wireless Network Adapter (\_SB.PCI0.RP05.PXSX),Fx Device,low,10,74.03906685472492,709
Win10,21H2,Realtek High Definition Audio(SST) (INTELAUDIO\FUNC_01&VEN_10EC&DEV_0298&SUBSYS_17AA380A&REV_1001\4&356d5815&0&0001),Fx Device,low,1,3.005333333333333,6
Win10,22H2,Intel(R) PCI Express Root Port #13 - 9DB4 (\_SB.PCI0.RP13),Fx Device,high,45,2608.5428459638097,9229
Win10,21H1,WP Location Client,Activator,low,66,54.513645567010315,485
Win10,21H1,WP Sync Client,Activator,moderate,8,141.08000425531915,47
Win10,22H2,Unregistered Device \_SB.PC00.GNA0,Fx Device,high,16,2998.0277821728987,8560
Win11,22H2,Intel(R) PCI Express Root Port #1 - 43B8 (\_SB.PC00.RP01),Fx Device,moderate,2,542.5159142857143,21
Win11,22H2,Kontroler audio technologii Intel(R) Smart Sound (\_SB.PCI0.HDAS),Fx Device,moderate,26,541.3254315638451,697
Win10,21H2,Intel(R) Wireless-AC 9461 (\_SB.PC00.CNVW),Fx Device,high,7,1109.1851944444445,18
Win11,22H2,Intel(R) TypeC PCIE - 9A23 (\_SB.PC00.TRP0),Fx Device,moderate,59,514.6025943310658,441
Win10,RS5,Intel RST VMD Controller 9A0B (\_SB.PC00.VMD0),Fx Device,low,5,85.01728087649408,753
Win10,22H2,Intel(R) Wireless-AC 9560 (\_SB.PC00.CNVW),Fx UserIdMaskice,low,1,11.589718085106384,94
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx UserIdMaskice,high,1,83.9355,1
Win10,22H2,Intel(R) PCI Express Root Port #9 - 43B0 (\_SB.PC00.RP09),Fx Device,moderate,8,407.13078125,112
Win11,21H2,Update UX Client,Activator,moderate,39,164.81175128205132,39
Win10,22H2,인텔(R) 스마트 사운드 기술 오디오 컨트롤러 (\_SB.PC00.HDAS),Fx Device,low,46,32.37015127409707,4513
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.UserIdMaskI0.XHC),Fx Device,low,5,73.53955005561734,899
Win11,22H2,Intel(R) UserIdMaskI Express Root Port #5 - 02BC (\_SB.UserIdMaskI0.RP05),Fx Device,moderate,1,2757.3302999999996,1
Win10,21H2,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Fx Device,moderate,60,201.8291874324324,1480
Win10,21H1,Intel(R) Wireless-AC 9560 (\_SB.PCI0.CNVW),Fx Device,low,10,36.083834980988584,263
Win11,22H2,Intel(R) Dual Band Wireless-AC 8265 (\_SB.PCI0.RP10.PXSX),Fx Device,moderate,13,388.0373688172043,186
Win11,21H2,Unregistered Device \_SB.PC00.HEC3,Fx Device,high,17,5630.281015515289,883
Win10,RS5,BI,Activator,moderate,20,271.56794516129037,124
Win11,22H2,Intel(R) TypeC PCIE - 9A27 (\_SB.PC00.TRP2),Fx Device,moderate,13,788.0032696721311,122
Win10,21H2,Unregistered Device \_SB.PCI0.I2C0,Fx Device,high,28,4327.911681544714,1230
Win10,20H2,Intel(R) PCI Express Root Port #12 - A0B3 (\_SB.PC00.RP12),Fx Device,low,7,27.905319681456184,879
