os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,22H2,Intel(R) Wireless-AC 9462 (\_SB.PCI0.CNVW),Fx Device,high,18,890.223573655914,186
Win11,21H2,Intel(R) Management Engine Interface #1 (\_SB.PC00.HECI),Fx Device,high,13,5473.616183333335,342
Win10,21H2,Device enroller,Activator,low,2,37.9176,2
Win11,22H2,PCI Express Root Port (\_SB.PC00.TRP0),Fx Device,low,213,133.08170687037762,5138
Win11,22H2,PCI Express Root Port (\_SB.PC00.TRP0),Fx Device,high,96,2275.871101570808,4138
Win11,22H2,Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) (\_SB.PC00.CNVW),Fx Device,moderate,33,302.3087685884692,503
Win11,22H2,英特尔(R)智音技术音频控制器 (\_SB.PCI0.HDAS),Fx Device,high,60,6009.9315062754185,1721
Win11,21H2,Intel(R) Xeon(R) E3 - 1200/1500 v5/6th Gen Intel(R) Core(TM) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),Fx Device,low,15,150.25282091954023,435
Win11,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,low,155,70.10559575558594,12487
Win10,22H2,Intel(R) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),Fx Device,high,176,1742.7980834051732,13920
Win11,22H2,Cortana Voice Activation,Activator,high,36,1174.3577606719373,506
Win11,22H2,英特尔(R)智音技术音频控制器 (\_SB.PC00.HDAS),Fx Device,high,35,4556.36047093185,719
Win10,20H2,Lock Screen,Activator,low,107,12.716324640287773,556
Win10,20H2,Intel(R) Ethernet Connection (10) I219-V (\_SB.PCI0.GLAN),Fx Device,moderate,10,189.9901446764092,479
Win10,21H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,88,44.619317187500016,5440
Win10,21H1,TCPIP,Activator,high,22,1180.9386333016487,3156
Win10,21H1,WNS,Activator,low,116,64.28855702402961,5410
Win10,21H1,DHCP,Activator,moderate,74,349.6216611538463,780
Win10,21H1,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,119,51.977955738693446,4975
Win10,21H1,NCSI,Activator,low,122,63.12071537102468,1698
Win10,22H2,PLM Phase,PDC Phase,high,846,379.4992369158881,2140
Win10,22H2,DHCP,Activator,high,1149,1346.0322524413377,58431
Win10,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,high,326,3223.2830446223684,10804
Win10,22H2,GP,Activator,moderate,300,241.0976721911542,1967
Win10,22H2,Intel(R) PCI Express Root Port #13 - 02B4 (\_SB.PCI0.RP13),Fx Device,low,55,73.81435465268677,3052
Win11,22H2,Intel(R) Serial IO I2C Host Controller - A0E9 (\_SB.PC00.I2C1),Fx Device,high,41,543.1187426229507,366
Win10,21H1,WU,Activator,moderate,54,345.67976030150754,199
Win10,21H1,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,low,56,21.156551518634032,6091
Win11,22H2,Intel(R) Smart Sound Technologie-Audiocontroller (\_SB.PCI0.HDAS),Fx Device,high,87,4296.070234319832,1926
Win11,22H2,WP OmaDmClient Client,Activator,low,234,332.6294815229323,4557
Win11,22H2,Shell Phase,PDC Phase,low,1698,0.0020267917856657464,7353
Win11,21H2,DSM Function invoked,PEP Pre-Veto,low,60,89.5546125,144
Win11,21H2,Surface Serial Hub Driver (\_SB.SSH),Fx Device,low,200,18.185331913330867,5446
Win11,21H2,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),Fx Device,low,73,41.925163782051285,2496
Win10,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,moderate,455,213.1032562346927,18373
Win11,22H2,Intel(R) PEG60 - 9A09 (\_SB.PC00.PEG0),Fx Device,low,419,109.064451877626,68544
Win11,22H2,Intel(R) PCI Express Root Port #10 - A0B1 (\_SB.PC00.RP10),Fx Device,high,122,1320.6903447852771,2771
Win11,22H2,Intel(R) Smart Sound Technologie-Audiocontroller (\_SB.PCI0.HDAS),Fx Device,low,157,86.18012684316659,11407
Win10,22H2,Marvell AVASTAR Wireless-AC Network Controller (\_SB.PCI0.RP04.PXSX),Fx Device,low,31,41.75049877433313,8322
Win11,22H2,Realtek RTL8821CE 802.11ac PCIe Adapter (\_SB.PC00.RP09.PXSX),Fx Device,low,48,117.46982564427556,11835
Win10,21H2,Intel(R) Serial IO I2C Host Controller - 06E8 (\_SB.PCI0.I2C0),Fx Device,low,4,9.1615375,8
Win10,21H2,Intel(R) PCI Express Root Port #1 - 06B8 (\_SB.PCI0.RP01),Fx Device,low,46,115.28431463414631,1681
Win10,20H2,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Fx Device,low,18,118.40172379421222,933
Win10,20H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,moderate,48,204.73614085106385,470
