guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
3c59e68f76d94f05907eae1e24a90bdc,1439594.0,979389519255.0,15616950578295.0,Notebook,Acer,Other,16.0,Win11,4
3cd46a10c22949de8b8dc881d3c9f540,101064.0,27107352180.0,78424131200.0,Notebook,Toshiba,Other,8.0,Win10,2
3cf2f2d8bce0433999e4208de467491b,6474263.0,3013313744520.0,4995114305275.0,Desktop,Acer,Aspire TC-895,24.0,Win11,8
3d8fd80fdc78410896da4dfb85d977d0,1446152.0,418872999580.0,797057776650.0,Desktop,Gigabyte,Default string,16.0,Win10,8
3e1787b9355a4f5e99e69f8af8625136,201270.0,85303296755.0,752941047660.0,Notebook,Asus,X510UNR,8.0,Win11,4
3e207aa641464a12a3e2fb600571ab3f,833298.0,92385590570.0,253821839090.0,Desktop,Unknown,To Be Filled By O.E.M.,16.0,Win10,4
3e303beda72940d288a9fd91dc9d1b45,29700.0,596174620.0,4572246180.0,Notebook,Lenovo,Lenovo ideapad 300-15ISK,8.0,Win10,2
3f040a47349345c4ae6d84dd9c7c46bf,400040.0,30214890370.0,36507699030.0,Notebook,HP,HP Pavilion Notebook,16.0,Win10,4
3f2b723ce3674880b0a91ce75db1a72a,1959078.0,1209625123160.0,3438707757725.0,Desktop,Unknown,Other,16.0,Win10,4
3f424a837638407aaf304e816d60fa64,1128604.0,103879071625.0,1083551343815.0,2 in 1,Asus,T102HA,4.0,Win10,4
3f43995b8d49424f90669900eba89a69,15376940.0,138641657155.0,147403838450.0,Notebook,Dell,Inspiron 5759,16.0,Win11,2
3f88773a65b041bfb6996f79f623f9ae,1949254.0,101268720960.0,103960461540.0,Desktop,HP,HP EliteDesk 800 G3 SFF,8.0,Win10,2
404ae8a7749b4ae09e6bcfd8ef1460bb,192930.0,6357924035.0,21202786945.0,Notebook,HP,HP Pavilion Gaming Notebook,16.0,Win10,4
404e5562f85e42bea9b8b7e5271b4eec,1023351.0,124583714130.0,163580877235.0,Notebook,Dell,Latitude 5590,16.0,Win10,4
404f8fce7a4b4053a1c6b3319c9e2527,1568215.0,41799414055.0,72286122980.0,Notebook,Lenovo,IdeaPad U310,4.0,Win10,2
408167f09bc04a1899a694e3190a2ff4,5239304.0,206883337770.0,573266621685.0,2 in 1,Lenovo,Lenovo Yoga S940-14IWL,16.0,Win11,4
409a730782274efcaacc669700f8c579,7049752.0,47264108450.0,63257285480.0,Desktop,Unknown,Unknown,8.0,Win10,2
40ce7eb7b8784e379ca6193a9533bfb6,524724.0,79998821550.0,331551853430.0,Notebook,Other,A62 LIV,32.0,Win11,6
410f685e0f784fbb88c858b93c13130f,5408666.0,266166907570.0,290881734085.0,Desktop,MSI,MS-7B12,32.0,Win11,8
4111f5523ee74cb5bb8ed893faa9a4eb,4052155.0,1151032811485.0,2545228962280.0,Notebook,Dell,Inspiron 5488,8.0,Win11,4
4134c68205ed4a4ca61d01033c2f043d,2688950.0,764977461655.0,1490662163245.0,Desktop,MSI,MS-7990,8.0,Win10,4
41a94606822943e1b2ce4a4e8961cebc,380484.0,22876521860.0,23369707555.0,Desktop,Other,Other,16.0,Win10,4
43fa64445c8e48ed8e93870a51be5d57,1210208.0,165075078670.0,1300524100230.0,Desktop,Dell,XPS 8940,24.0,Win10,8
43fbfbdb2a0b4eae8c3137d152b531c1,94082.0,2780662585.0,21165352330.0,Notebook,Samsung,370E4K,4.0,Win10,2
443e45ada897431586c6a3cee1105968,177560.0,27440211940.0,271267755790.0,Desktop,Unknown,Other,16.0,Win10,4
44cac221037844e2b070f73b14e33c20,2950279.0,936293713960.0,2801986758910.0,Notebook,Alienware,Alienware 17 R4,16.0,Win10,4
44d6f908c588417e917d48f8bad4cdf9,1519498.0,64250659855.0,512055801760.0,Notebook,Dell,Precision 7720,32.0,Win10,4
451dd92a72da47599f41f527af93cabc,4605464.0,131347108810.0,410737435860.0,Desktop,MSI,MS-7C83,16.0,Win10,6
457dae8461b24a389786dedfe3a452e8,9704510.0,147085286810.0,1314790372080.0,Desktop,HP,HP 280 G3 SFF Business PC,8.0,Win11,6
46876ba8ec074c28aef93fd066ad9940,7674882.0,204469751325.0,1487975884055.0,Desktop,Unknown,Other,16.0,Win11,4
46e6256148df411ab9648859be315bb1,572008.0,89750675280.0,171197284610.0,Desktop,Unknown,To Be Filled By O.E.M.,16.0,Win10,4
47477c8f88eb46d19d367a0641ee2ce0,239768.0,314546101720.0,430321881970.0,Notebook,Shinelon Computer,Not Applicable,16.0,Win10,6
4817c8d8ad314827bfb332a12851fd52,486143.0,47797446595.0,59120345500.0,Notebook,HP,HP EliteBook 850 G8 Notebook PC,16.0,Win10,4
485330315e0d4a058999e49eb4326503,813572.0,80899227465.0,178717009440.0,Intel NUC/STK,Intel,NUC10i7FNH,16.0,Win10,6
48b606e7276c428588f3218ae8e28653,58940.0,23136440210.0,35504073430.0,Desktop,MSI,MS-7A69,16.0,Win10,4
48ea4d9290df43bbab66e4ed45207978,41354.0,7336239170.0,10842721890.0,Notebook,HP,HP Pavilion dv4 Notebook PC,4.0,Win10,2
49011ef8ce0a4d79b6bc6738167c30c9,969960.0,36630187850.0,563598734330.0,Desktop,Dell,OptiPlex 7010,8.0,Win10,4
490baf5ab16b44389ad28c13f2365616,6954066.0,8049615470375.0,11607348892545.0,Desktop,Wortmann_AG,To be filled by O.E.M.,8.0,Win10,4
49c5d9fb54f9404fbbb3c73b127a5a2b,11693076.0,2434768243980.0,13336167623985.0,Desktop,Unknown,Other,16.0,Win10,4
49e0a1230cc84a1892e0abecc2b77518,3085386.0,915988175825.0,986341288570.0,Desktop,Gigabyte,Default string,8.0,Win10,6
4a43921dc7924a149f84692e76aa21a4,149596.0,91046102350.0,144868597355.0,Desktop,Lenovo,Other,16.0,Win10,8
4b357ce924d04c55ab8344222617dadd,5660486.0,247476568615.0,274777784875.0,Desktop,Unknown,To Be Filled By O.E.M.,16.0,Win11,4
4b76bf02797945faaf6415654f5b2458,320223.0,59168522180.0,112901595615.0,Notebook,Dell,XPS 13 9380,8.0,Win11,4
4b894d285dbb460184ff2120e96e8050,10875972.0,412786288355.0,1169145740895.0,Notebook,Lenovo,Lenovo ideapad 330-15IKB,8.0,Win11,4
4ba04e2f7cdf4137b1b61aef688ebec7,1348742.0,2309215707460.0,3336779347680.0,Desktop,Gigabyte,X570 AORUS ELITE,32.0,Win11,n/a
4d42d1e80b4b4773907641a277a4ed5f,5716336.0,545215153400.0,1079262773475.0,Desktop,Dell,XPS 8910,24.0,Win10,4
4d6be7e9c4c74360b3ccdc5e3055652a,43230.0,6347178095.0,153279936455.0,Desktop,Other,Unknown,16.0,Win10,6
4d748d63172e4eeba22a125ba7d4ceae,1173916.0,179151007770.0,1347388584475.0,Desktop,Gigabyte,Z170MX-Gaming 5,48.0,Win10,4
4dc548b4d7494823b9a024427bf9a86a,6729991.0,782790814615.0,21001845413590.0,Notebook,Dell,Precision M6800,32.0,Win10,4
4e08427fb7d7493caf9eb68334cc8fb2,43158.0,6279548010.0,6433678300.0,Notebook,Dell,Dell System Vostro 3750,4.0,Win11,2
4e4cd5e8ec1f484aaed41be33a9fea8b,1262951.0,86250827300.0,111366714345.0,Notebook,Dell,Inspiron N4050,8.0,Win10,2
4e7139854fec4c6e9cee13f629805e2a,8601114.0,48393878250.0,49535850485.0,Desktop,Asus,System Product Name,32.0,Win10,6
4eb5ed445f1645c3bca69522bd266bcf,349988.0,115844646575.0,215255062040.0,Notebook,Asus,N752VX,16.0,Win10,4
4efb5c7218e848d19fd25c3d5b96c955,1798060.0,17684336190.0,173070380545.0,Desktop,Asus,ROG Strix GL10CS_GL10CS,16.0,Win10,8
4f3937c2de5b40ab927290d31e899a30,553816.0,43252777775.0,58257234845.0,Desktop,HP,Other,32.0,Win10,4
4f4fad23f1194e8eb12967be5d160950,1614814.0,523916965300.0,579060847785.0,Notebook,HUAWEI,BOHB-WAX9,8.0,Win11,4
4f7075821b2d4ef78ce1831990b6d45c,29162.0,2314727955.0,7385447140.0,Notebook,Lenovo,Other,40.0,Win11,12
5014f36286ad432a8135a6bf7dbc62a9,709927.0,610160927695.0,2130229796670.0,Desktop,Asus,System Version,16.0,Win10,4
50b9d622c47d428a9bb731fcd693cfcb,2191184.0,847206174760.0,1337698561190.0,Desktop,Dell,Precision 3630 Tower,8.0,Win10,6
50cd64e8b81846f189b6e7a51cfac19e,1754466.0,34936418500.0,488504167045.0,Desktop,PCWARE,IPMH61R3,8.0,Win10,2
520dd53e2dce4423aa42da1aca90631b,1148734.0,193568517715.0,206665518600.0,Notebook,Dell,Latitude 5580,8.0,Win10,2
5230a4918eed4347926df3a2c6f51303,2823523.0,960467013955.0,2978080846625.0,Desktop,Asus,System Version,64.0,Win10,6
524cddfa10cd4ea0b2c9b43c8df603ec,705614.0,22796611760.0,151743102525.0,Intel NUC/STK,Intel,NUC11PAHi7,32.0,Win10,4
52e10e75ca6147e4a15131df9105915e,197398.0,15382360185.0,16073662120.0,Notebook,Lenovo,Lenovo IdeaPad S145-15IKB,4.0,Win10,2
52ea811784a54702af0b4a9669aa9f7c,2745744.0,152800070220.0,164780985125.0,Notebook,Acer,Aspire A515-51G,20.0,Win10,2
536215532ee540199bb989c7015464f3,198756.0,44757024485.0,55825672270.0,Notebook,Lenovo,ThinkPad T490,16.0,Win10,4
5501669413c24da88baa40efc0ea7d2c,568289.0,1235137812530.0,1528961642920.0,Desktop,Asus,System Product Name,32.0,Win10,12
55137c86acaf4ff5a248e68b352d13da,2719872.0,1429844731075.0,5078780384315.0,Notebook,HP,HP Pavilion Gaming Laptop 15-ec1xxx,16.0,Win10,n/a
551dcd8c51d24586ae911867c79f1cf0,482680.0,3069949965.0,120101605000.0,Desktop,Acer,Aspire XC-830,8.0,Win11,4
554f5e70f5be4920859d15e8c67075ed,800214.0,67601814800.0,71366739130.0,Desktop,Unknown,Unknown,8.0,Win10,2
559d6a2095f943fb9f75f997c9259dd1,61952.0,35479648275.0,43603984335.0,2 in 1,LG,Other,8.0,Win11,4
